Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXB.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CHDRAUIB.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GENTERA.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LABB.MX,LACOMERUBC.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,RA.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
2020-01-02,79.11624145507812,14.607597351074219,50.13541030883789,12.256467819213867,280.50128173828125,19.424436569213867,32.10430145263672,31.188467025756836,7.090960502624512,26.008563995361328,32.8076057434082,1359.0430908203125,149.980224609375,177.79872131347656,69.64971160888672,96.03611755371094,16.798154830932617,24.143884658813477,75.52569580078125,39.92243576049805,174.57225036621094,28.42632293701172,91.86981201171875,15.058245658874512,21.92909049987793,83.37267303466797,57.40126037597656,105.3797607421875,36.44248962402344,206.5335693359375,158.66326904296875,62.16582489013672,82.09388732910156,40.213382720947266,33.15224838256836,47.05967330932617
2020-01-03,79.82256317138672,14.788382530212402,50.53470230102539,12.624964714050293,281.87860107421875,19.59334373474121,32.113372802734375,30.53324317932129,7.120670795440674,25.37827491760254,32.742069244384766,1355.3994140625,151.5172882080078,178.74378967285156,70.0550308227539,95.48457336425781,16.630508422851562,24.08504295349121,75.73231506347656,40.01859664916992,176.24395751953125,28.411392211914062,92.61742401123047,15.066262245178223,21.88184928894043,84.8507308959961,57.364200592041016,104.88343811035156,36.99704360961914,210.75160217285156,161.50083923339844,62.02555465698242,81.496337890625,40.302486419677734,33.80268096923828,46.69254684448242
2020-01-06,79.52375030517578,14.946573257446289,50.539573669433594,12.496792793273926,276.73126220703125,19.502857208251953,32.25410842895508,30.38764190673828,7.130574703216553,25.169727325439453,32.84038162231445,1364.596923828125,151.42637634277344,177.169921875,70.3990707397461,94.76184844970703,16.726903915405273,24.26156234741211,75.81494903564453,39.07546615600586,174.06536865234375,28.590505599975586,92.07659912109375,15.090315818786621,21.74485206604004,85.40071868896484,57.460533142089844,103.85379028320312,36.96183395385742,212.4508056640625,159.71527099609375,62.859317779541016,81.671875,39.620826721191406,33.28329849243164,47.1920051574707
2020-01-07,80.27275085449219,14.58047866821289,50.515220642089844,12.496792793273926,279.785400390625,19.44253158569336,31.822839736938477,30.606050491333008,7.001828670501709,25.063135147094727,32.685890197753906,1371.8255615234375,152.599853515625,178.470458984375,69.14068603515625,94.81890869140625,16.437715530395508,23.751617431640625,73.61103820800781,39.16053009033203,172.13577270507812,29.523366928100586,91.73460388183594,15.154459953308105,21.692890167236328,84.21482849121094,55.800804138183594,102.91302490234375,35.60624694824219,212.13095092773438,160.46900939941406,63.256710052490234,81.18263244628906,38.841156005859375,33.00663375854492,46.94014358520508
2020-01-08,80.00885772705078,14.860699653625488,50.25227355957031,12.713083267211914,282.60223388671875,19.267593383789062,31.795602798461914,30.693408966064453,7.130574703216553,25.211437225341797,32.67652893066406,1369.0242919921875,151.6908416748047,183.33660888671875,69.66856384277344,95.1422348022461,16.42933464050293,23.643747329711914,74.91961669921875,40.21092224121094,175.9042510986328,30.851778030395508,91.31305694580078,15.00211238861084,21.98577880859375,85.21165466308594,55.28955841064453,104.44639587402344,35.22772979736328,209.90199279785156,164.78988647460938,62.04893493652344,82.50467681884766,39.268863677978516,33.161964416503906,47.563385009765625
2020-01-09,79.54315185546875,14.824541091918945,50.20845031738281,12.713083267211914,284.7654724121094,19.050424575805664,32.53102493286133,30.649728775024414,7.031538486480713,25.572921752929688,32.381595611572266,1361.506591796875,150.9222869873047,185.83999633789062,69.68740844726562,94.96629333496094,16.760435104370117,23.8594913482666,77.73650360107422,40.16654586791992,178.5343475341797,30.325632095336914,90.87960052490234,15.042205810546875,21.858224868774414,83.892578125,55.141357421875,104.18341827392578,35.192527770996094,206.5335693359375,163.14938354492188,63.38529586791992,83.11715698242188,38.93026351928711,32.63772964477539,47.44386291503906
2020-01-10,79.62852478027344,14.481045722961426,49.35630416870117,12.713083267211914,289.6832275390625,18.495437622070312,32.4039192199707,30.55508804321289,7.110767364501953,26.082712173461914,31.82451057434082,1359.669921875,149.9636993408203,186.39845275878906,70.58289337158203,94.77135467529297,17.451974868774414,23.869298934936523,75.72542572021484,41.00242233276367,180.27882385253906,29.8293514251709,90.47795867919922,15.02617073059082,22.288118362426758,85.41790008544922,55.42292022705078,105.283447265625,39.98990249633789,204.24462890625,163.54034423828125,63.42814636230469,80.41331481933594,38.97481918334961,33.00663375854492,47.95612716674805
2020-01-13,79.1783447265625,14.553360939025879,48.2460823059082,12.713083267211914,293.005859375,18.187786102294922,32.49470520019531,30.54052734375,7.081057071685791,25.95294952392578,31.30017852783203,1358.416259765625,149.6661834716797,187.16390991210938,71.29927825927734,94.94252014160156,17.569326400756836,24.27136993408203,75.75296783447266,42.10458755493164,181.64756774902344,29.366649627685547,90.72451782226562,14.817696571350098,22.382598876953125,85.79601287841797,55.97863006591797,107.32793426513672,43.114803314208984,205.0542449951172,163.0647430419922,62.17360305786133,81.571044921875,39.09064865112305,33.37554931640625,48.3488655090332
2020-01-14,79.79151916503906,14.309298515319824,48.57720184326172,12.328566551208496,293.2003479003906,18.459245681762695,32.30404281616211,31.21758460998535,7.0513458251953125,25.68414878845215,31.309541702270508,1369.1221923828125,147.07135009765625,188.2652587890625,71.62919616699219,94.84742736816406,17.359769821166992,24.349822998046875,75.05735778808594,42.04542541503906,181.18235778808594,30.262203216552734,90.87562561035156,14.697420120239258,21.947986602783203,84.4124755859375,55.793392181396484,107.43163299560547,43.08839416503906,205.58399963378906,163.84669494628906,61.54244613647461,82.81838989257812,40.2757568359375,33.444393157958984,48.39154815673828
2020-01-15,80.2029037475586,13.748858451843262,49.05440139770508,12.01614761352539,306.0007019042969,18.887548446655273,31.759286880493164,30.54780387878418,6.8829851150512695,26.268091201782227,31.459346771240234,1366.1151123046875,145.97225952148438,195.85743713378906,68.0943832397461,93.61119842529297,17.59447479248047,23.60451889038086,74.29287719726562,40.662147521972656,181.2360382080078,29.620391845703125,90.36661529541016,15.258698463439941,22.033021926879883,85.22025299072266,55.34883117675781,109.07610321044922,41.73280334472656,199.69674682617188,160.66250610351562,62.02555465698242,81.53369903564453,39.97279739379883,33.700069427490234,48.21226119995117
